Country or area,AgeGroup,MeanAge,MarriedPercentage,Continent
Argentina,[15-19],17.0,2.3625,South America
Argentina,[20-24],22.0,18.54,South America
Argentina,[25-29],27.0,42.31,South America
Argentina,[30-34],32.0,57.220000000000006,South America
Argentina,[35-39],37.0,63.85,South America
Argentina,[40-44],42.0,66.53999999999999,South America
Argentina,[45-49],47.0,67.58,South America
Argentina,[50-54],52.0,66.83,South America
Argentina,[55-59],57.0,65.42,South America
Argentina,[60-64],62.0,62.36,South America
Argentina,[65+],67.5,47.1,South America
Azerbaijan,[15-19],17.0,24.234375,Asia
Azerbaijan,[20-24],22.0,40.28636363636364,Asia
Azerbaijan,[25-29],27.0,55.720454545454544,Asia
Azerbaijan,[30-34],32.0,63.71590909090909,Asia
Azerbaijan,[35-39],37.0,66.51590909090909,Asia
Azerbaijan,[40-44],42.0,67.7,Asia
Azerbaijan,[45-49],47.0,67.22500000000001,Asia
Azerbaijan,[50-54],52.0,68.0575,Asia
Azerbaijan,[55-59],57.0,65.0725,Asia
Azerbaijan,[60-64],62.0,64.73666666666666,Asia
China,[15-19],17.0,1.822222222222222,Asia
China,[20-24],22.0,32.26111111111111,Asia
China,[25-29],27.0,76.86111111111111,Asia
China,[30-34],32.0,91.24444444444445,Asia
China,[35-39],37.0,93.85555555555555,Asia
China,[40-44],42.0,94.07222222222222,Asia
China,[45-49],47.0,93.30555555555556,Asia
China,[50-54],52.0,91.79375,Asia
China,[55-59],57.0,88.70625,Asia
China,[60-64],62.0,84.52142857142857,Asia
China,[65+],67.5,61.96,Asia
Egypt,[15-19],17.0,44.80980392156863,Africa
Egypt,[20-24],22.0,46.519642857142856,Africa
Egypt,[25-29],27.0,53.00178571428571,Africa
Egypt,[30-34],32.0,56.339285714285715,Africa
Egypt,[35-39],37.0,56.84285714285714,Africa
Egypt,[40-44],42.0,55.323214285714286,Africa
Egypt,[45-49],47.0,53.38392857142857,Africa
Egypt,[50-54],52.0,54.6625,Africa
Egypt,[55-59],57.0,51.65,Africa
Egypt,[60-64],62.0,45.4,Africa
Egypt,[65+],67.5,51.7,Africa
France,[15-19],17.0,3.0073529411764706,Europe
France,[20-24],22.0,23.855128205128207,Europe
France,[25-29],27.0,51.18974358974359,Europe
France,[30-34],32.0,65.42564102564103,Europe
France,[35-39],37.0,70.6025641025641,Europe
France,[40-44],42.0,72.6076923076923,Europe
France,[45-49],47.0,73.37820512820512,Europe
France,[50-54],52.0,77.34411764705882,Europe
France,[55-59],57.0,75.84411764705882,Europe
France,[60-64],62.0,72.76470588235294,Europe
France,[65+],67.5,48.7,Europe
India,[15-19],17.0,37.53809523809524,Asia
India,[20-24],22.0,49.464285714285715,Asia
India,[25-29],27.0,57.53809523809524,Asia
India,[30-34],32.0,60.49166666666666,Asia
India,[35-39],37.0,60.30833333333333,Asia
India,[40-44],42.0,58.858333333333334,Asia
India,[45-49],47.0,57.32777777777778,Asia
India,[50-54],52.0,58.31923076923077,Asia
India,[55-59],57.0,56.49615384615385,Asia
India,[60-64],62.0,48.37692307692308,Asia
Indonesia,[15-19],17.0,34.80909090909091,Asia
Indonesia,[20-24],22.0,47.83090909090909,Asia
Indonesia,[25-29],27.0,59.267272727272726,Asia
Indonesia,[30-34],32.0,63.70363636363636,Asia
Indonesia,[35-39],37.0,64.41090909090909,Asia
Indonesia,[40-44],42.0,63.130909090909086,Asia
Indonesia,[45-49],47.0,61.19454545454545,Asia
Indonesia,[50-54],52.0,62.904999999999994,Asia
Indonesia,[55-59],57.0,59.75789473684211,Asia
Indonesia,[60-64],62.0,52.126315789473686,Asia
Iran (Islamic Republic of),[15-19],17.0,14.875,Asia
Iran (Islamic Republic of),[20-24],22.0,47.35,Asia
Iran (Islamic Republic of),[25-29],27.0,76.675,Asia
Iran (Islamic Republic of),[30-34],32.0,89.0875,Asia
Iran (Islamic Republic of),[35-39],37.0,92.9125,Asia
Iran (Islamic Republic of),[40-44],42.0,93.25625,Asia
Iran (Islamic Republic of),[45-49],47.0,92.3,Asia
