Country or area,MeanAge,MarriedPercentage,Continent
Argentina,41.03921568627451,52.096078431372554,South America
Azerbaijan,39.0935960591133,58.95073891625616,Asia
China,40.214285714285715,73.58516483516483,Asia
Egypt,38.29549902152642,51.97573385518591,Africa
France,39.171159029649594,58.64865229110512,Europe
India,37.08620689655172,54.15287356321839,Asia
Indonesia,37.768463073852296,56.80019960079841,Asia
Iran (Islamic Republic of),42.04545454545455,75.00511363636363,Asia
Mexico,38.96896551724138,50.91,North America
Nigeria,36.25196850393701,49.98346456692913,Africa
Republic of Korea,39.39234449760765,64.42535885167464,Asia
Russian Federation,38.702127659574465,52.868085106382985,Europe
State of Palestine,37.94505494505494,64.75054945054946,Asia
Thailand,37.55555555555556,51.504320987654324,Asia
Turkey,38.35123966942149,59.30743801652893,Asia
Ukraine,37.357142857142854,54.02527472527473,Europe
United Kingdom,39.632701421800945,56.52938388625593,Europe
United States of America,32.69512195121951,50.87906504065041,North America
